TRAT,APHELINIDAE,BETHYLIDAE,BRACONIDAE,CERAPHRONIDAE,DIAPRIIDAE,DRYNIDAE,ENCYRTIDAE,EULOPHIDAE,EURYTOMIDAE,EVANIIDAE,FIGITIDAE,ICHNEUMONIDAE,MEGASPILIDAE,MONOMACHIDAE,MYMARIDAE,PLATYGASTRIDAE,PTEROMALIDAE,SCELIONIDAE,SIGNIPHORIDAE,TRICHOGRAMMATIDAE
HORTA,0,3,6,34,5,1,119,6,0,1,2,1,1,0,1,2,5,16,0,0
HORTA,4,0,4,24,3,0,165,4,0,0,4,2,1,0,3,2,0,7,0,0
HORTA,3,1,1,11,7,1,180,1,0,0,5,2,0,0,2,6,4,10,0,0
HORTA,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,3,1,0,0
HORTA,1,0,1,14,7,0,39,1,1,0,0,0,0,0,1,7,1,6,0,1
HORTA,2,0,2,6,4,0,21,2,0,0,2,2,0,0,4,4,0,8,0,0
MATA,2,1,4,26,9,1,7,9,1,0,1,5,0,0,4,1,4,0,0,0
MATA,5,2,24,6,30,3,17,10,4,1,6,15,1,1,9,7,1,3,0,1
MATA,11,1,11,37,23,0,13,14,0,1,2,7,2,0,8,15,7,3,0,0
MATA,11,1,16,33,40,2,11,3,0,1,2,10,0,0,14,15,14,3,0,1
MATA,4,0,4,43,15,1,5,5,0,0,0,4,0,0,8,6,2,2,0,2
MATA,5,2,14,29,18,0,8,2,0,0,2,2,0,0,12,10,4,2,0,0
PASTO,1,0,0,3,0,0,21,3,0,0,0,0,0,0,1,0,6,1,0,0
PASTO,1,0,1,3,0,0,29,1,0,0,0,0,0,0,1,0,2,1,1,0
PASTO,2,0,1,1,0,0,9,1,0,0,0,0,0,0,4,2,1,1,0,2
PASTO,1,0,0,1,0,0,16,0,0,0,0,0,0,0,2,2,0,2,1,0
PASTO,1,0,0,2,1,0,25,0,0,0,0,0,0,0,1,2,0,0,0,0
PASTO,2,0,0,3,0,0,11,0,0,0,0,0,0,0,1,3,1,3,0,0
